Date,Open,High,Low,Close,Volume
2024-11-13,508.35272735480186,510.91230509556345,505.9220670734697,508.2038879394531,24567400
2024-11-14,507.8665336575629,508.73955728941615,503.7592201185579,504.6719665527344,28679500
2024-11-15,498.9674158501514,499.3543196021951,490.58414799637626,492.6477355957031,51461100
2024-11-18,494.19534863085397,498.17368391423526,492.80641308195663,496.0704040527344,27080800
2024-11-19,493.49100674201975,499.96942655752554,493.1536656807539,499.4832763671875,24523000
2024-11-20,499.1856564574556,499.5031361161102,492.6377823112046,499.1955871582031,29565500
2024-11-21,502.24132948309835,502.95564359753246,493.6298978588017,500.9913024902344,34526700
2024-11-22,500.4357175118036,502.5290365817057,498.8086569561695,501.7948913574219,23826600
2024-11-25,505.87241468402135,507.41018976726633,500.2769794512125,502.58856201171875,26375200
2024-11-26,504.06681387960333,506.110570406728,503.2235519980058,505.287109375,26557100
2024-11-27,504.15607164871835,504.2254957213914,497.9653396767726,501.3087158203125,24957400
2024-11-29,501.9337807222535,506.3089508903919,501.31868278834094,505.71368408203125,15334000
2024-12-02,506.97362609834516,512.18215721545,506.58669211119974,511.21978759765625,25147200
2024-12-03,509.89049559402883,513.065231991336,509.3150598622085,512.7874145507812,18597900
2024-12-04,516.2101120920232,519.3848480945504,515.4957677287545,519.1268920898438,26086200
2024-12-05,519.1765675882936,519.9007822143092,517.3014814587618,517.6884155273438,18169600
2024-12-06,518.3530064032137,522.5595057281002,518.2240284052577,522.3214111328125,23762600
2024-12-09,521.398850563676,522.1925195302961,517.1030347782992,518.25390625,20674400
2024-12-10,519.4840189672058,521.2301267457367,515.0592258717493,516.4878540039062,24350000
2024-12-11,520.8531319621538,526.4188051823884,520.4463971119644,525.7342529296875,32168600
2024-12-12,523.5120419753823,524.7819607903772,521.8651803498141,522.3413696289062,23577500
2024-12-13,526.2700842159519,528.9586400198303,523.1350101576185,526.3395385742188,28780400
2024-12-16,528.8694272749564,534.8914899938695,528.7900422086976,533.919189453125,31979900
2024-12-17,532.1233843076452,533.234532805748,529.911018011913,531.5678100585938,28579100
2024-12-18,530.9230075449514,532.6393233284896,510.942073860317,512.3905029296875,54703200
2024-12-19,517.0732431157651,517.6387480839205,509.7713925868022,510.1086730957031,46441800
